YearKey,CountryKey,EducationKey,QualityOfLifeKey,HealthKey,PopulationKey,QualityOfLifeKey,DevelopmentIndex,HumanDevelopmentIndex
0,32,0,0,0,0,,1.0,4
0,128,1,1,1,1,,2.0,3
0,96,2,2,2,2,,2.0,3
0,80,3,3,3,3,,2.0,3
0,48,4,4,4,4,,2.0,3
0,112,5,5,5,5,,1.0,4
0,0,6,6,6,6,,1.0,4
0,64,7,7,7,7,,2.0,3
0,16,8,8,8,8,,2.0,3
1,33,9,9,9,9,,,5
1,129,10,10,10,10,,,5
1,97,11,11,11,11,,,5
1,81,12,12,12,12,,,5
1,49,13,13,13,13,,,5
1,113,14,14,14,14,,,5
1,1,15,15,15,15,,,5
1,65,16,16,16,16,,,5
1,17,17,17,17,17,,,5
2,34,18,18,18,18,,1.0,4
2,130,19,19,19,19,,2.0,3
2,98,20,20,20,20,,2.0,3
2,82,21,21,21,21,,2.0,3
2,50,22,22,22,22,,2.0,3
2,114,23,23,23,23,,2.0,3
2,2,24,24,24,24,,1.0,4
2,66,25,25,25,25,,2.0,3
2,18,26,26,26,26,,2.0,3
3,35,27,27,27,27,,,5
3,131,28,28,28,28,,,5
3,99,29,29,29,29,,,5
3,83,30,30,30,30,,,5
3,51,31,31,31,31,,,5
3,115,32,32,32,32,,,5
3,3,33,33,33,33,,,5
3,67,34,34,34,34,,,5
3,19,35,35,35,35,,,5
4,36,36,36,36,36,,,5
4,132,37,37,37,37,,,5
4,100,38,38,38,38,,,5
4,84,39,39,39,39,,,5
4,52,40,40,40,40,,,5
4,116,41,41,41,41,,,5
4,4,42,42,42,42,,,5
4,68,43,43,43,43,,,5
4,20,44,44,44,44,,,5
5,37,45,45,45,45,,1.0,4
5,133,46,46,46,46,,2.0,3
5,101,47,47,47,47,,2.0,3
5,85,48,48,48,48,,2.0,3
5,53,49,49,49,49,,2.0,3
5,117,50,50,50,50,,2.0,3
5,5,51,51,51,51,,1.0,4
5,69,52,52,52,52,,1.0,4
5,21,53,53,53,53,,2.0,3
6,38,54,54,54,54,,,5
6,134,55,55,55,55,,,5
6,102,56,56,56,56,,,5
6,86,57,57,57,57,,,5
6,54,58,58,58,58,,,5
6,118,59,59,59,59,,,5
6,6,60,60,60,60,,,5
6,70,61,61,61,61,,,5
6,22,62,62,62,62,,,5
7,39,63,63,63,63,,,5
7,135,64,64,64,64,,,5
7,103,65,65,65,65,,,5
7,87,66,66,66,66,,,5
7,55,67,67,67,67,,,5
7,119,68,68,68,68,,,5
7,7,69,69,69,69,,,5
7,71,70,70,70,70,,,5
7,23,71,71,71,71,,,5
8,40,72,72,72,72,,,5
8,136,73,73,73,73,,,5
8,104,74,74,74,74,,,5
8,88,75,75,75,75,,,5
8,56,76,76,76,76,,,5
8,120,77,77,77,77,,,5
8,8,78,78,78,78,,,5
8,72,79,79,79,79,,,5
8,24,80,80,80,80,,,5
9,41,81,81,81,81,,,5
9,137,82,82,82,82,,,5
9,105,83,83,83,83,,,5
9,89,84,84,84,84,,,5
9,57,85,85,85,85,,,5
9,121,86,86,86,86,,,5
9,9,87,87,87,87,,,5
9,73,88,88,88,88,,,5
9,25,89,89,89,89,,,5
10,42,90,90,90,90,,1.0,4
10,138,91,91,91,91,,2.0,3
10,106,92,92,92,92,,2.0,3
10,90,93,93,93,93,,1.0,4
10,58,94,94,94,94,,1.0,4
10,122,95,95,95,95,,1.0,4
10,10,96,96,96,96,,1.0,4
10,74,97,97,97,97,,1.0,4
10,26,98,98,98,98,,1.0,4
11,43,99,99,99,99,,,5
11,139,100,100,100,100,,,5
11,107,101,101,101,101,,,5
11,91,102,102,102,102,,,5
11,59,103,103,103,103,,,5
11,123,104,104,104,104,,,5
11,11,105,105,105,105,,,5
11,75,106,106,106,106,,,5
11,27,107,107,107,107,,,5
12,44,108,108,108,108,,,5
12,140,109,109,109,109,,,5
12,108,110,110,110,110,,,5
12,92,111,111,111,111,,,5
12,60,112,112,112,112,,,5
12,124,113,113,113,113,,,5
12,12,114,114,114,114,,,5
12,76,115,115,115,115,,,5
12,28,116,116,116,116,,,5
13,45,117,117,117,117,,,5
13,141,118,118,118,118,,,5
13,109,119,119,119,119,,,5
13,93,120,120,120,120,,,5
13,61,121,121,121,121,,,5
13,125,122,122,122,122,,,5
13,13,123,123,123,123,,,5
13,77,124,124,124,124,,,5
13,29,125,125,125,125,,,5
14,46,126,126,126,126,,,5
14,142,127,127,127,127,,,5
14,110,128,128,128,128,,,5
14,94,129,129,129,129,,,5
14,62,130,130,130,130,,,5
14,126,131,131,131,131,,,5
14,14,132,132,132,132,,,5
14,78,133,133,133,133,,,5
14,30,134,134,134,134,,,5
15,47,135,135,135,135,,,5
15,143,136,136,136,136,,,5
15,111,137,137,137,137,,,5
15,95,138,138,138,138,,,5
15,63,139,139,139,139,,,5
15,127,140,140,140,140,,,5
15,15,141,141,141,141,,,5
15,79,142,142,142,142,,,5
15,31,143,143,143,143,,,5
